Pattern Type,Pattern Chance,Mon AM,Mon PM,Tue AM,Tue PM,Wed AM,Wed PM,Thu AM,Thu PM,Fri AM,Fri PM,Sat AM,Sat PM
Small Profit,100%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68,9 - 65,81 - 126,81 - 126,125 - 125,126 - 126,125 - 125
Small Profit,100%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68,9 - 65,81 - 126,81 - 126,125 - 179,180 - 180,125 - 179
Small Profit,100%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68,81 - 126,81 - 126,125 - 125,126 - 126,125 - 125,36 - 81
Small Profit,100%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,14 - 68,81 - 126,81 - 126,125 - 179,180 - 180,125 - 179,36 - 81
Small Profit,100%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,81 - 126,81 - 126,125 - 125,126 - 126,125 - 125,36 - 81,32 - 79
Small Profit,100%,36 - 81,32 - 79,27 - 76,23 - 73,18 - 71,81 - 126,81 - 126,125 - 179,180 - 180,125 - 179,36 - 81,32 - 79
Small Profit,100%,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,14 - 69,10 - 66,82 - 128,82 - 128,127 - 127,128 - 128,127 - 127
Small Profit,100%,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,14 - 69,10 - 66,82 - 128,82 - 128,127 - 181,182 - 182,127 - 181
Small Profit,100%,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,14 - 69,82 - 128,82 - 128,127 - 127,128 - 128,127 - 127,37 - 82
Small Profit,100%,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,14 - 69,82 - 128,82 - 128,127 - 181,182 - 182,127 - 181,37 - 82
Small Profit,100%,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,82 - 128,82 - 128,127 - 127,128 - 128,127 - 127,37 - 82,32 - 80
Small Profit,100%,37 - 82,32 - 80,28 - 77,23 - 74,19 - 71,82 - 128,82 - 128,127 - 181,182 - 182,127 - 181,37 - 82,32 - 80
Small Profit,100%,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,14 - 70,10 - 67,83 - 129,83 - 129,128 - 128,129 - 129,128 - 128
Small Profit,100%,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,14 - 70,10 - 67,83 - 129,83 - 129,128 - 183,184 - 184,128 - 183
Small Profit,100%,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,14 - 70,83 - 129,83 - 129,128 - 128,129 - 129,128 - 128,37 - 83
Small Profit,100%,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,14 - 70,83 - 129,83 - 129,128 - 183,184 - 184,128 - 183,37 - 83
Small Profit,100%,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,83 - 129,83 - 129,128 - 128,129 - 129,128 - 128,37 - 83,33 - 81
Small Profit,100%,37 - 83,33 - 81,28 - 78,23 - 75,19 - 72,83 - 129,83 - 129,128 - 183,184 - 184,128 - 183,37 - 83,33 - 81
Small Profit,100%,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,14 - 70,10 - 67,84 - 131,84 - 131,130 - 130,131 - 131,130 - 130
Small Profit,100%,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,14 - 70,10 - 67,84 - 131,84 - 131,130 - 185,186 - 186,130 - 185
Small Profit,100%,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,14 - 70,84 - 131,84 - 131,130 - 130,131 - 131,130 - 130,38 - 84
Small Profit,100%,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,14 - 70,84 - 131,84 - 131,130 - 185,186 - 186,130 - 185,38 - 84
Small Profit,100%,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,84 - 131,84 - 131,130 - 130,131 - 131,130 - 130,38 - 84,33 - 81
Small Profit,100%,38 - 84,33 - 81,28 - 79,24 - 76,19 - 73,84 - 131,84 - 131,130 - 185,186 - 186,130 - 185,38 - 84,33 - 81
Small Profit,100%,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,15 - 71,10 - 68,85 - 132,85 - 132,131 - 131,132 - 132,131 - 131
Small Profit,100%,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,15 - 71,10 - 68,85 - 132,85 - 132,131 - 187,188 - 188,131 - 187
Small Profit,100%,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,15 - 71,85 - 132,85 - 132,131 - 131,132 - 132,131 - 131,38 - 85
Small Profit,100%,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,15 - 71,85 - 132,85 - 132,131 - 187,188 - 188,131 - 187,38 - 85
Small Profit,100%,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,85 - 132,85 - 132,131 - 131,132 - 132,131 - 131,38 - 85,33 - 82
Small Profit,100%,38 - 85,33 - 82,29 - 79,24 - 77,19 - 74,85 - 132,85 - 132,131 - 187,188 - 188,131 - 187,38 - 85,33 - 82
Small Profit,100%,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,15 - 72,10 - 69,86 - 133,86 - 133,132 - 132,133 - 133,132 - 132
Small Profit,100%,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,15 - 72,10 - 69,86 - 133,86 - 133,132 - 189,190 - 190,132 - 189
Small Profit,100%,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,15 - 72,86 - 133,86 - 133,132 - 132,133 - 133,132 - 132,38 - 86
Small Profit,100%,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,15 - 72,86 - 133,86 - 133,132 - 189,190 - 190,132 - 189,38 - 86
Small Profit,100%,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,86 - 133,86 - 133,132 - 132,133 - 133,132 - 132,38 - 86,34 - 83
Small Profit,100%,38 - 86,34 - 83,29 - 80,24 - 77,19 - 75,86 - 133,86 - 133,132 - 189,190 - 190,132 - 189,38 - 86,34 - 83
Small Profit,100%,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,15 - 73,10 - 70,87 - 135,87 - 135,134 - 134,135 - 135,134 - 134
Small Profit,100%,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,15 - 73,10 - 70,87 - 135,87 - 135,134 - 191,192 - 192,134 - 191
Small Profit,100%,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,15 - 73,87 - 135,87 - 135,134 - 134,135 - 135,134 - 134,39 - 87
Small Profit,100%,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,15 - 73,87 - 135,87 - 135,134 - 191,192 - 192,134 - 191,39 - 87
Small Profit,100%,39 - 87,34 - 84,29 - 81,24 - 78,20 - 75,87 - 135,87 - 135,134 - 134,135 - 135,134 - 134,39 - 87,34 - 84
